"Condition","day","phase","hour","id","Trial","n","mean_Temp","sd_Temp","se_Temp"
"WT","Morphine Day 6","light",7,1114204.3,3,60,34.1955,0.0955168811062796,0.0123311763268765
"WT","Morphine Day 6","light",7,1115463.3,3,60,34.955,0.313425578439825,0.0404630681857623
"WT","Morphine Day 6","light",8,53375,5,60,34.9465,0.371824749132971,0.0480023687033249
"WT","Morphine Day 6","light",8,53376,5,60,34.24,0.569474929136704,0.0735188972209701
"WT","Morphine Day 6","light",8,53377,4,60,34.6875,0.26459194678804,0.0341586734483559
"WT","Morphine Day 6","light",8,53377,5,60,35.0323333333333,0.628208015496828,0.0811013060657742
"WT","Morphine Day 6","light",8,53406,5,60,34.8563333333333,0.50140469350283,0.0647310675882231
"WT","Morphine Day 6","light",8,53407,4,60,34.9033333333333,0.349705283504174,0.045146757969747
"WT","Morphine Day 6","light",8,53407,5,60,33.728,1.00150361533318,0.129293560778397
"WT","Morphine Day 6","light",8,1105702,7,60,33.9738333333333,0.154218551354631,0.0199095293690906
"WT","Morphine Day 6","light",8,1105717,6,59,34.4662711864407,0.54642063595443,0.0711379075323565
"WT","Morphine Day 6","light",8,1105717,7,60,33.8231666666667,0.295190209673366,0.0381088922009474
"WT","Morphine Day 6","light",8,1110188.3,3,60,34.3515,0.306244750906244,0.039536027337444
"WT","Morphine Day 6","light",8,1113216.3,3,60,34.4976666666667,0.155382160556509,0.0200597506711029
"WT","Morphine Day 6","light",8,1114204.3,3,60,34.3238333333333,0.123220783887788,0.0159077347968009
"WT","Morphine Day 6","light",8,1115463.3,3,60,34.917,0.0857528968725484,0.0110706513825474
"WT","Morphine Day 6","light",9,53375,5,57,35.0480701754386,0.905259312881617,0.119904525144617
"WT","Morphine Day 6","light",9,53376,5,60,34.3041666666667,0.488606776376366,0.0630788635916585
"WT","Morphine Day 6","light",9,53377,4,60,34.8343333333333,0.20621994730546,0.0266228807189939
"WT","Morphine Day 6","light",9,53377,5,60,34.9835,0.38955352540125,0.0502911438778477
"WT","Morphine Day 6","light",9,53406,5,60,34.521,0.14810326218955,0.0191200489326372
"WT","Morphine Day 6","light",9,53407,4,60,34.6405,0.181092962361736,0.0233790009114124
"WT","Morphine Day 6","light",9,53407,5,43,34.4786046511628,1.45006006672852,0.2211320870725
"WT","Morphine Day 6","light",9,1105702,7,60,33.9506666666667,0.233607425777802,0.0301585889862604
"WT","Morphine Day 6","light",9,1105717,6,60,34.7323333333333,0.20035871785178,0.0258661992502471
"WT","Morphine Day 6","light",9,1105717,7,60,33.495,0.098385268292307,0.0127014835202751
"WT","Morphine Day 6","light",9,1110188.3,3,60,34.5473333333333,0.149086104874554,0.0192469333776694
"WT","Morphine Day 6","light",9,1113216.3,3,60,34.3151666666667,0.0904132071248382,0.0116722948490567
"WT","Morphine Day 6","light",9,1114204.3,3,60,34.2711666666667,0.1612250944284,0.020814070190397
"WT","Morphine Day 6","light",9,1115463.3,3,60,34.9156666666667,0.195979648430316,0.0253008638188732
"WT","Morphine Day 6","light",10,53375,5,58,35.3546551724138,0.790183668449973,0.103756198808176
"WT","Morphine Day 6","light",10,53376,5,60,35.11,0.248029522573012,0.0320204736764351
"WT","Morphine Day 6","light",10,53377,4,60,34.6675,0.302372679467136,0.0390361450641444
"WT","Morphine Day 6","light",10,53377,5,60,34.8241666666667,0.190425853417328,0.0245838719657548
"WT","Morphine Day 6","light",10,53406,5,59,35.3035593220339,0.944948023952612,0.123021754171872
"WT","Morphine Day 6","light",10,53407,4,60,35.0783333333333,0.564077668250756,0.0728221138367563
"WT","Morphine Day 6","light",10,53407,5,60,34.091,0.487566423114998,0.0629445545631435
"WT","Morphine Day 6","light",10,1105702,7,60,33.9903333333333,0.15925639349821,0.0205599119931874
"WT","Morphine Day 6","light",10,1105717,6,60,34.2413333333333,0.0889384983973487,0.0114819107709876
"WT","Morphine Day 6","light",10,1105717,7,60,33.4671666666667,0.17875361005402,0.0230769918271225
"WT","Morphine Day 6","light",10,1110188.3,3,60,34.6538333333333,0.0688425288997342,0.00888753226464912
"WT","Morphine Day 6","light",10,1113216.3,3,60,34.3413333333333,0.22352694196743,0.0288572041222842
"WT","Morphine Day 6","light",10,1114204.3,3,60,33.9793333333333,0.156539556561151,0.020209169852801
"WT","Morphine Day 6","light",10,1115463.3,3,60,34.8885,0.145635079123082,0.0188014078689099
"WT","Morphine Day 6","light",11,53375,5,60,35.064,0.230505707859767,0.0297581589248877
"WT","Morphine Day 6","light",11,53376,5,60,35.0645,0.231651586714011,0.0299060912488629
"WT","Morphine Day 6","light",11,53377,4,60,35.1591666666667,0.257051677628743,0.0331852288856933
"WT","Morphine Day 6","light",11,53377,5,60,34.9326666666667,0.378761884264708,0.0488979489978451
"WT","Morphine Day 6","light",11,53406,5,45,34.9986666666667,1.2153087897919,0.181167537841846
"WT","Morphine Day 6","light",11,53407,4,60,35.0275,0.265161447462369,0.034232195669267
"WT","Morphine Day 6","light",11,53407,5,60,33.732,0.420325942936056,0.0542638458990091
"WT","Morphine Day 6","light",11,1105702,7,60,33.394,0.42597525192696,0.0549931685536542
"WT","Morphine Day 6","light",11,1105717,6,60,34.7263333333333,0.459985138546471,0.0593838260364464
"WT","Morphine Day 6","light",11,1105717,7,60,34.0613333333333,0.107631931917817,0.0138952226612612
"WT","Morphine Day 6","light",11,1110188.3,3,60,34.7321666666667,0.144270128774106,0.018625193536577
"WT","Morphine Day 6","light",11,1113216.3,3,60,34.3093333333333,0.304658000346522,0.0393311787210311
"WT","Morphine Day 6","light",11,1114204.3,3,60,34.0135,0.175159249575534,0.0226129618846744
"WT","Morphine Day 6","light",11,1115463.3,3,60,35.0888333333333,0.376721322468294,0.0486345136026978
"WT","Morphine Day 6","dark",12,53375,5,59,36.5686440677966,0.914395329933316,0.11904413220997
"WT","Morphine Day 6","dark",12,53376,5,59,35.7145762711864,0.748940221439138,0.0975037118188984
"WT","Morphine Day 6","dark",12,53377,4,59,34.9949152542373,0.300593509929227,0.0391339417055895
"WT","Morphine Day 6","dark",12,53377,5,59,35.9015254237288,0.290569082291749,0.0378288723882602
"WT","Morphine Day 6","dark",12,53406,5,58,35.5555172413793,0.800638281368219,0.1051289567374
"WT","Morphine Day 6","dark",12,53407,4,59,35.2781355932203,0.172791229186246,0.0224955019547953
"WT","Morphine Day 6","dark",12,53407,5,48,35.2479166666667,1.35646122566684,0.19578831344601
"WT","Morphine Day 6","dark",12,1105702,7,60,34.0126666666667,0.398713467766679,0.0514736873522986
"WT","Morphine Day 6","dark",12,1105717,6,60,35.0326666666667,0.119431799794945,0.0154185790537801
"WT","Morphine Day 6","dark",12,1105717,7,60,34.7666666666667,0.345845398332872,0.0446484489368561
"WT","Morphine Day 6","dark",12,1110188.3,3,60,34.0686666666667,0.543948111516714,0.0702233992368402
"WT","Morphine Day 6","dark",12,1113216.3,3,60,33.1065,0.793101239610169,0.102388929762221
"WT","Morphine Day 6","dark",12,1114204.3,3,60,33.4998333333333,0.447120700598792,0.0577230342387904
"WT","Morphine Day 6","dark",12,1115463.3,3,60,35.1541666666667,0.282244584801405,0.0364376192164356
